Question Number,Question Text,Response
1,"He encourages our child to talk about the child's troubles.",4
2,"He guides our child by punishment more than by reason.",2
3,"He knows the names of our child's friends.",5
4,"He finds it difficult to discipline our child.",2
5,"He gives praise when our child is good.",4
6,"He spanks our child when our child is disobedient.",1
7,"He jokes and plays with our child.",4
8,"He avoids lecturing, scolding, and/or criticizing even when our child acts contrary to our wishes.",3
9,"He shows sympathy when our child is hurt or frustrated.",5
10,"He punishes by taking privileges away from our child with little if any explanation.",2
11,"He spoils our child.",3
12,"He gives support and understanding when our child is upset.",4
13,"He yells at/about our child when our child misbehaves.",2
14,"He is always polite and relaxed with our child.",5
15,"He allows our child to annoy someone else.",3
16,"He states his expectations regarding behavior before the child engages in an activity.",4
17,"He scolds and criticizes to make our child improve.",3
18,"He shows patience with our child.",5
19,"He grabs our child or pushes our child when he is being disobedient.",2
20,"He states a punishment but does not actually do them.",2
21,"He is responsive to our child's feelings and needs.",5
22,"He allows our child to give input into family rules.",4
23,"He argues with our child.",2
24,"He appears confident about parenting abilities.",5
25,"He gives our child reasons why rules should be obeyed.",4
26,"He appears to be more concerned with his own feelings than with our child's feelings.",3
27,"He tells our child that we appreciate what the child tries or accomplishes.",5
28,"He punishes by putting our child somewhere alone with little if any explanations.",2
29,"He helps our child to understand the impact of behavior by encouraging our child to talk about the consequences of his/her own actions.",4
30,"He is firm and strict about disciplining our child for misbehavior that will cause the child to not like his/her parents.",3
31,"He takes our child's desires into account before asking the child to do something.",4
32,"He explodes in anger towards our child.",2
33,"He is/am aware of problems or concerns about our child in school.",4
34,"He threatens our child with punishment more often than actually giving it.",2
35,"He expresses affection by hugging, kissing, and holding our child.",5
36,"He ignores our child's misbehavior.",2
37,"He uses physical punishment as a way of disciplining our child.",3
38,"He carries out discipline after our child misbehaves.",4
39,"He apologizes to our child when making a mistake in parenting.",5
40,"He tells our child what to do.",4
41,"He gives in to our child when the child causes a commotion about something.",3
42,"He talks it over and reasons with our child when the child misbehaves.",4
43,"He slaps our child when the child misbehaves.",2
44,"He disagrees with our child.",2
45,"He allows our child to interrupt others.",3
46,"He has warm and intimate times together with our child.",5
47,"When two children are fighting, he disciplines the child at fault first and asks questions later.",4
48,"He encourages our child to freely express himself/herself even when disagreeing with parents.",5
49,"He bribes our child with rewards to bring about compliance.",3
50,"He scolds or criticizes when our child's behavior doesn't meet our expectations.",3
51,"He shows respect for our child's opinion by encouraging our child to express them.",5
52,"He sets well-established rules for our child.",4
53,"He explains to our child how we feel about the child's good and bad behavior.",5
54,"He uses or threatens a punishment with little or no justification.",3
55,"He takes into account our child's preferences in making plans for the family.",4
56,"When our child asks why they have to conform, he states: 'because I said so, or I am your parent and I want you to.'",4
57,"He appears unsure on how to solve our child's misbehavior.",3
58,"He explains the consequences of the child's behavior.",5
59,"He demands that our child does/do things.",4
60,"He channels our child's misbehavior into a more acceptable activity.",4
61,"He shows our child when the child is disobedient.",4
62,"He emphasizes the reasons for rules.",4